Name,Sb,Sn,Cd,Pd,Ag,Bal,Mo,Nb,Zr,Sr,Rb,Bi,As,Se,Au,Pb,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Ca,K,Al,P,Si,Cl,S,Mg
CH-139,0,0,0,0,0,53.02912556,0,0,0.003921074,0.003164397,0.003547938,0,0,0,0,0,0,0,0,0,0,1.07633009,0.028060119,0.002820709,0.010940177,0.097016184,0.38620142,1.63698788,3.110050154,0.184603411,40.42723089,0,0,0
CH-014_20-25cm,0,0,0,0,0,55.35723834,0,0.00161666,0.0182151,0.005337689,0.003397393,0,0.001643554,0,0,0,0,0.013475164,0,0,0,4.778820555,0.035211833,0.033694452,0.036925552,0.516434076,0.497385339,1.29859773,9.804515534,0.106627012,27.10970287,0.042311556,0,0.338849594
V-005_30-40,0,0,0,0,0,52.39721407,0.000979541,0.002363145,0.030750048,0.008722485,0.006023993,0,0.001607432,0,0,0,0,0.014036003,0.012942332,0,0,4.561787386,0.096918977,0.009803481,0.02783433,0.428235624,1.829509121,2.302245899,6.443050316,0.198788442,31.48927491,0.03076863,0.107143839,0
CH-081_5-10cm,0,0,0,0,0,65.93270855,0,0.00186293,0.014565413,0.001670016,0.005192032,0,0.002717831,0,0,0,0,0.002304923,0,0,0,4.036177916,0.064636335,0.014485685,0.023104381,0.383811989,0.030941605,0.912170017,8.074464388,0.162980454,20.20619006,0.050757949,0.079257522,0
TRR-010,0,0,0,0,0,50.71458454,0,0.001067439,0.009483657,0.013327827,0.00549245,0,0.00111883,0,0,0,0,0.005750346,0,0,0,2.669157674,0.057887239,0.00964555,0.016167901,0.182844351,6.459621394,1.919029488,4.962601997,0.089013625,32.18881192,0.009335122,0.0471578,0.637900857
CH-081_0-5cm,0,0,0,0,0,66.30911613,0.00044,0.0017295,0.014873712,0.0025,0.005191742,0,0.002589577,0,0,0,0,0.002730741,0,0,0,3.870328834,0.08121077,0.013586936,0.022345128,0.359552749,0.186766687,0.91595595,7.519326252,0.152671437,20.34786676,0.055381486,0.135835613,0
TRR-012,0,0,0,0,0,51.75305586,0,0.001099751,0.009582638,0.014622967,0.006347172,0,0.0008261,0,0,0,0,0.003862007,0,0,0,2.424603595,0.055310725,0.006948108,0.016464411,0.180309364,6.042766409,2.187551729,5.25545175,0.09577056,31.46490731,0.015226927,0,0.465292625
TRR-013a,0,0,0,0,0,52.53827497,0,0.000892104,0.006436032,0.006447732,0.011582125,0,0.003960315,0,0,0,0.005817257,0.010197583,0,0,0,2.653240151,0.041008489,0.007743888,0.017605337,0.200821813,2.335748081,2.340481264,5.383464256,0.198920518,33.49095639,0.015443244,0.166043261,0.564915192
CH-143,0,0,0,0,0,50.14389807,0,0.001116025,0.008479791,0.006775287,0.012931055,0,0,0,0,0.001559198,0,0,0,0,0,1.109427617,0.03684956,0.004401987,0.013786253,0.091017835,0.182555094,3.980528361,4.879103247,0.170911962,39.35665865,0,0,0
CH-142,0,0,0,0,0,51.43067939,0,0.0013075,0.007489148,0.0066585,0.013651327,0,0,0,0,0.001779831,0,0,0,0,0,1.123423674,0.038451873,0,0.012816224,0.115608769,0.224925162,4.078738581,5.396949616,0.113539872,37.43398053,0,0,0
CH-061_15-20cm,0,0,0,0,0,56.22452096,0,0.001156601,0.021814873,0.002816943,0.003933795,0,0.000675941,0,0,0,0,0.001230574,0,0,0,2.338159661,0,0.0072617,0.015331913,0.290621206,0,1.440788534,6.554781387,0.13711375,32.92892606,0.030866105,0,0
CH-140,0,0,0,0,0,52.15895906,0,0.001167563,0.007813611,0.009730534,0.0113445,0,0,0,0,0.001385537,0,0.002285532,0,0,0,1.787124756,0.0423753,0,0.015880889,0.189782271,0.769400951,3.615454781,6.049500387,0.109360632,34.96251466,0.011323269,0,0.254595766
CH-147,0,0,0,0,0,50.38387825,0,0.001276194,0.010588978,0.010651183,0.008416143,0,0.00272933,0,0,0.006898215,0,0.008586562,0,0,0,4.100716059,0.223700106,0.012110712,0.02797836,0.260834698,5.240999357,2.288905613,5.486200547,0.095042577,30.28350513,0.017722925,0.742357035,0.786902023
CH-146,0,0,0,0,0,53.52041588,0,0.001727972,0.006872,0.00594818,0.009723086,0,0,0,0,0.001897465,0,0.003757662,0,0,0,2.414904797,0.057503943,0.00419577,0.017764749,0.185836294,0.621404217,3.578298024,5.684788472,0.168428223,33.70517121,0.011362048,0,0
CH-145,0,0,0,0,0,51.97070303,0,0.001227323,0.006500971,0.006301758,0.014289492,0,0,0,0,0.001361066,0,0,0,0,0,1.004875707,0.048196003,0,0.011070832,0.095627224,0.214019449,4.406480112,5.428643369,0.117899995,36.67280367,0,0,0
CH-029_5-10cm,0,0,0,0,0,51.46465585,0.000513797,0.002062539,0.022478609,0.012180527,0.007191646,0,0.004561821,0,0,0,0,0.002400817,0,0,0,3.551487987,0.052166927,0.013247136,0.022814316,0.391852774,0.130579619,1.891997967,4.966728364,0.235081072,37.20402604,0.023972184,0,0
CH-168,0,0,0,0,0,56.27230665,0,0.001382381,0.012982117,0.010444471,0.010750856,0,0.000526907,0,0,0.000935706,0,0.003765522,0,0,0,2.492422854,0.03739923,0.009471846,0.025248986,0.252799909,0.353069249,3.481021102,6.209315624,0.11394476,30.15531325,0.015347704,0,0.541550871
